id,user_id,ip,action_time,action
619,,244.143.138.0,2021-01-20 18:36:32,"('id': 234676, 'action': 'search', 'time': '2021-01-20 18:36:32')"
919428,30083.0,157.169.233.89,2023-12-10 04:13:50,"('id': 541654, 'action': 'search', 'time': '2023-12-10 04:13:50')"
630539,,160.111.52.224,2023-09-26 04:09:44,"('id': 230556, 'action': 'click', 'time': '2023-09-26 04:09:44')"
963478,,247.14.235.202,2023-12-19 21:02:47,"('id': 838067, 'action': 'click', 'time': '2023-12-19 21:02:47')"
421566,,255.2.67.154,2023-07-20 16:04:14,"('id': 924754, 'action': 'search', 'time': '2023-07-20 16:04:14')"
254025,13135.0,248.91.249.202,2023-05-13 16:59:31,"('id': 10761, 'action': 'search', 'time': '2023-05-13 16:59:31')"
713315,,233.103.7.166,2023-10-18 03:24:28,"('id': 145994, 'action': 'search', 'time': '2023-10-18 03:24:28')"
792138,,137.178.232.45,2023-11-09 07:29:27,"('id': 992795, 'action': 'click', 'time': '2023-11-09 07:29:27')"
98032,,89.193.103.94,2023-03-06 17:39:27,"('id': 962808, 'action': 'search', 'time': '2023-03-06 17:39:27')"
292599,,17.57.136.204,2023-05-29 22:36:19,"('id': 807418, 'action': 'search', 'time': '2023-05-29 22:36:19')"
170211,24523.0,83.47.174.114,2023-04-08 00:16:28,"('id': 175821, 'action': 'search', 'time': '2023-04-08 00:16:28')"
90455,,167.61.104.175,2023-03-02 22:38:47,"('id': 677165, 'action': 'search', 'time': '2023-03-02 22:38:47')"
709064,,79.150.239.155,2023-10-17 00:02:47,"('id': 797849, 'action': 'search', 'time': '2023-10-17 00:02:47')"
31757,,40.94.100.23,,"('id': 633947, 'action': 'search', 'time': '2023-01-24 05:47:14')"
518492,67862.0,119.250.92.166,2023-08-26 04:05:04,"('id': 158760, 'action': 'click', 'time': '2023-08-26 04:05:04')"
330823,96297.0,223.207.52.165,2023-06-14 05:46:37,"('id': 941185, 'action': 'click', 'time': '2023-06-14 05:46:37')"
298416,87745.0,55.128.43.58,2023-06-01 08:57:51,"('id': 145311, 'action': 'search', 'time': '2023-06-01 08:57:51')"
906807,17867.0,183.20.112.17,2023-12-07 08:37:52,"('id': 265546, 'action': 'search', 'time': '2023-12-07 08:37:52')"
754937,,127.130.157.39,2023-10-30 00:35:08,"('id': 396819, 'action': 'search', 'time': '2023-10-30 00:35:08')"
842747,,181.212.41.151,,"('id': 188919, 'action': 'search', 'time': '2023-11-21 18:52:41')"
1002307,9001.0,38.31.176.246,2023-12-28 18:12:15,"('id': 473405, 'action': 'click', 'time': '2023-12-28 18:12:15')"
525489,,238.251.124.127,2023-08-28 14:16:28,"('id': 664329, 'action': 'search', 'time': '2023-08-28 14:16:28')"
327331,65819.0,238.91.49.175,2023-06-12 19:21:38,"('id': 515757, 'action': 'click', 'time': '2023-06-12 19:21:38')"
411638,,229.165.0.59,2023-07-16 13:25:00,"('id': 795767, 'action': 'search', 'time': '2023-07-16 13:25:00')"
225345,26056.0,78.145.117.167,2023-05-01 19:26:00,"('id': 303505, 'action': 'click', 'time': '2023-05-01 19:26:00')"
174639,88058.0,212.144.136.7,2023-04-09 18:54:05,"('id': 837432, 'action': 'click', 'time': '2023-04-09 18:54:05')"
987138,,180.51.17.203,,"('id': 347103, 'action': 'search', 'time': '2023-12-25 07:46:09')"
253282,81343.0,26.244.190.150,2023-05-13 10:22:19,"('id': 184066, 'action': 'search', 'time': '2023-05-13 10:22:19')"
537581,67141.0,84.57.81.212,2023-09-01 18:19:52,"('id': 684103, 'action': 'search', 'time': '2023-09-01 18:19:52')"
531287,,116.87.19.138,2023-08-30 16:11:38,"('id': 983600, 'action': 'click', 'time': '2023-08-30 16:11:38')"
555411,2702.0,35.106.226.168,2023-09-06 15:34:32,"('id': 786972, 'action': 'click', 'time': '2023-09-06 15:34:32')"
132136,,247.208.243.144,2023-03-22 18:16:56,"('id': 901436, 'action': 'search', 'time': '2023-03-22 18:16:56')"
810001,,65.22.159.93,2023-11-13 20:35:31,"('id': 785177, 'action': 'click', 'time': '2023-11-13 20:35:31')"
536353,,136.112.173.108,2023-09-01 10:06:43,"('id': 955719, 'action': 'click', 'time': '2023-09-01 10:06:43')"
525300,,253.231.134.153,,"('id': 250068, 'action': 'search', 'time': '2023-08-28 12:33:09')"
124907,,55.17.240.195,2023-03-19 10:50:04,"('id': 826899, 'action': 'search', 'time': '2023-03-19 10:50:04')"
840324,78673.0,134.234.140.24,2023-11-21 05:34:22,"('id': 329151, 'action': 'search', 'time': '2023-11-21 05:34:22')"
100185,,104.57.213.148,2023-03-07 18:10:35,"('id': 568224, 'action': 'click', 'time': '2023-03-07 18:10:35')"
588844,,24.26.77.163,2023-09-15 12:07:52,"('id': 818228, 'action': 'search', 'time': '2023-09-15 12:07:52')"
889968,,61.208.178.104,2023-12-03 08:17:00,"('id': 150438, 'action': 'search', 'time': '2023-12-03 08:17:00')"
92017,,11.40.21.118,2023-03-03 17:50:46,"('id': 190247, 'action': 'click', 'time': '2023-03-03 17:50:46')"
618443,,211.79.9.178,2023-09-23 05:16:34,"('id': 556890, 'action': 'search', 'time': '2023-09-23 05:16:34')"
697119,,24.51.173.136,2023-10-13 18:13:05,"('id': 960536, 'action': 'search', 'time': '2023-10-13 18:13:05')"
166050,,6.209.248.14,2023-04-06 05:59:10,"('id': 28868, 'action': 'search', 'time': '2023-04-06 05:59:10')"
716910,,31.29.150.165,2023-10-19 04:01:18,"('id': 116392, 'action': 'search', 'time': '2023-10-19 04:01:18')"
449151,24510.0,68.184.51.59,2023-07-31 21:25:10,"('id': 920574, 'action': 'search', 'time': '2023-07-31 21:25:10')"
910662,92068.0,229.187.155.86,2023-12-08 06:32:37,"('id': 843395, 'action': 'search', 'time': '2023-12-08 06:32:37')"
961127,,127.76.20.51,2023-12-19 08:29:27,"('id': 35743, 'action': 'search', 'time': '2023-12-19 08:29:27')"
615832,,230.77.94.224,2023-09-22 13:37:40,"('id': 261615, 'action': 'search', 'time': '2023-09-22 13:37:40')"
196463,,88.92.26.157,2023-04-19 10:13:55,"('id': 879335, 'action': 'search', 'time': '2023-04-19 10:13:55')"
230956,,144.164.126.14,2023-05-04 03:38:03,"('id': 482973, 'action': 'search', 'time': '2023-05-04 03:38:03')"
290694,23803.0,117.4.1.210,2023-05-29 03:52:10,"('id': 496620, 'action': 'search', 'time': '2023-05-29 03:52:10')"
338309,,204.223.224.194,2023-06-17 06:57:18,"('id': 331065, 'action': 'click', 'time': '2023-06-17 06:57:18')"
130827,,23.41.66.239,2023-03-22 02:32:24,"('id': 157896, 'action': 'click', 'time': '2023-03-22 02:32:24')"
742790,,172.148.56.92,2023-10-26 10:14:58,"('id': 222600, 'action': 'search', 'time': '2023-10-26 10:14:58')"
552237,,238.168.134.131,2023-09-05 19:20:32,"('id': 417368, 'action': 'search', 'time': '2023-09-05 19:20:32')"
548641,26492.0,17.117.107.134,,"('id': 503362, 'action': 'click', 'time': '2023-09-04 21:22:04')"
915412,30083.0,124.183.84.196,2023-12-09 07:13:12,"('id': 652011, 'action': 'search', 'time': '2023-12-09 07:13:12')"
87038,32478.0,156.147.173.221,2023-03-01 04:06:15,"('id': 476241, 'action': 'search', 'time': '2023-03-01 04:06:15')"
244371,61055.0,25.126.136.47,,"('id': 410461, 'action': 'search', 'time': '2023-05-09 19:39:39')"
531605,85976.0,208.18.115.1,2023-08-30 18:45:53,"('id': 874812, 'action': 'search', 'time': '2023-08-30 18:45:53')"
925149,,159.50.145.243,2023-12-11 11:32:32,"('id': 413189, 'action': 'click', 'time': '2023-12-11 11:32:32')"
13977,88185.0,244.143.138.0,2021-05-17 23:46:35,"('id': 956971, 'action': 'search', 'time': '2021-05-17 23:46:35')"
750545,14116.0,139.38.28.127,2023-10-28 17:28:10,"('id': 624379, 'action': 'search', 'time': '2023-10-28 17:28:10')"
812478,,71.187.67.243,2023-11-14 11:32:33,"('id': 925886, 'action': 'search', 'time': '2023-11-14 11:32:33')"
649325,,234.49.221.162,2023-10-01 01:31:46,"('id': 193922, 'action': 'click', 'time': '2023-10-01 01:31:46')"
431437,,153.160.197.173,2023-07-24 16:06:28,"('id': 564541, 'action': 'search', 'time': '2023-07-24 16:06:28')"
4090,,244.143.138.0,2021-02-26 05:11:43,"('id': 547661, 'action': 'click', 'time': '2021-02-26 05:11:43')"
